"","TMA.core","P63","uv-GATA3","Her2Neu","CV","Mean"
"69","I-6",0.0848125704568,0.1040019288336,0.1048665030072,0.115807359332075,0.0978936674325333
"70","I-7",0.082210294122,0.1025799757728,0.1151645942688,0.166322069664719,0.0999849547212
"79","J-7",0.0909570533096,0.0869037821696,0.0861998341948,0.0291706667085068,0.0880202232246667
"81","K-10",0.0925582036208,0.1039085788972,0.1257874006768,0.157238920551025,0.107418061064933
"80","J-9",0.1660708972212,0.1771896187252,0.1792760485468,0.0407556336541874,0.174178854831067
"48","F-9",0.1553920272612,0.1644799290404,0.1643116147148,0.0322129613731239,0.161394523672133
"49","G-1",0.104608404552,0.1643589801716,0.1471036700576,0.221723768592564,0.138690351593733
"42","F-2",0.0847243528088,0.0813443183596,0.0935661726956,0.0729222265118257,0.0865449479546667
"9","B-10",0.1291152053316,0.1353237490372,0.1308305232952,0.0243341066759616,0.131756492554667
"37","E-6",0.1113019804288,0.1073762538696,0.1098222942764,0.0181057907224789,0.1095001761916
"61","H-7",0.153163047614,0.1795409282184,0.1739495988748,0.0823003656235567,0.1688845249024
"12","B-4",0.160447187054,0.1650136458108,0.165314101104,0.0166715162667383,0.163591644656267
"40","F-1",0.1806718660988,0.2022467286132,0.2116964051956,0.080231425993681,0.1982049999692
"10","B-2",0.1351560942828,0.1370168270844,0.145224489874,0.0385046575297204,0.139132470413733
"19","C-5",0.1954460754744,0.208692862232,0.2150972779724,0.0485541978893707,0.206412071892933
"8","A-9",0.2133619461452,0.2116089707884,0.20682555433,0.0160649197689143,0.210598823754533
"11","B-3",0.1420536425532,0.1347363390488,0.1320906340728,0.0378654597335793,0.136293538558267
"22","C-8",0.2365150594832,0.242472698182,0.2406540748792,0.0127280115363134,0.239880610848133
"71","I-8",0.188577486502,0.215045666526,0.2293833428252,0.0981092002579056,0.2110021652844
"30","D-9",0.2300306501232,0.2327139712692,0.2310352595072,0.00586223149950509,0.231259960299867
"4","A-5",0.1884954935572,0.190660288682,0.2054826261436,0.047445617059047,0.194879469460933
"50","G-10",0.1978052173756,0.2001527137228,0.1981725779224,0.00635453512060629,0.1987101696736
"38","E-8",0.200165328022,0.1879966722256,0.195212360542,0.0314684187833964,0.1944581202632
"90","L-10",0.1497449641512,0.1471652369068,0.2514935504264,0.32550794142892,0.1828012504948
"20","C-6",0.1499502969104,0.1403963462436,0.1499902834144,0.037659039634968,0.1467789755228
"78","J-5",0.1628608878604,0.1655636251336,0.1690930112364,0.0188446775664399,0.165839174743467
"41","F-10",0.1874020481772,0.1937083939248,0.1669045127716,0.0767173344866645,0.182671651624533
"91","L-2",0.1321327435716,0.1179186750376,0.130620140694,0.0615220675142276,0.126890519767733
"7","A-8",0.209886686104,0.2121182215896,0.2160309628408,0.0146241149106977,0.212678623511467
"43","F-3",0.2152148259272,0.1805784749392,0.2061911086704,0.0895442435088879,0.2006614698456
"88","K-8",0.1877762723868,0.1869172633452,0.189525929276,0.00706869523632918,0.188073155002667
"54","G-7",0.2018236136884,0.2128774910988,0.2130501132488,0.0307400594380269,0.209250406012
"24","D-2",0.2309434554408,0.2278863635404,0.2288065271992,0.00684250139489376,0.229212115393467
"86","K-6",0.2009389638164,0.1974940852736,0.2051325999524,0.0190138494739852,0.2011885496808
"68","I-4",0.211855506136,0.223376463014,0.2244324777284,0.0317274136856477,0.219888148959467
"29","D-8",0.174139369876,0.1989022285624,0.1994032759468,0.0756945682260936,0.1908149581284
"72","I-9",0.1886798024844,0.2150828292408,0.21813204751,0.0781287315981554,0.207298226411733
"74","J-10",0.2201101015388,0.2340953400896,0.2238193856864,0.0320563877171532,0.2260082757716
"84","K-4",0.192674454234,0.207893132152,0.219381522702,0.0648289468040814,0.206649703029333
"87","K-7",0.1808574941684,0.1772665412164,0.186698017756,0.0262117238844142,0.181607351046933
"25","D-3",0.2370388414624,0.2317972497476,0.2336971445892,0.0113317330904258,0.2341777452664
"64","I-1",0.22347972713,0.2280860899444,0.2320499685752,0.0188225580231433,0.227871928549867
"93","L-4",0.1972219297072,0.1990460769188,0.2107880725952,0.036384823081174,0.202352026407067
"55","G-8",0.2120520583536,0.2160285100604,0.2186468840548,0.0154035686374032,0.2155758174896
"89","K-9",0.2160249442536,0.2195445192348,0.2232218554024,0.0163879379359192,0.219597106296933
"60","H-6",0.2382521020732,0.2436015749024,0.2400878948388,0.0112955363179032,0.2406471906048
"59","H-5",0.1976225573764,0.2316676440068,0.2300534053296,0.0873910742985233,0.2197812022376
"95","L-7",0.2408349210576,0.2425971304112,0.246041287548,0.0108903627072853,0.243157779672267
"73","J-1",0.2390520794924,0.2435070707164,0.2455342834112,0.0136631198931702,0.242697811206667
"53","G-4",0.2294734155172,0.2370465295892,0.2334172596728,0.0162342239848842,0.233312401593067
"52","G-3",0.2159429306972,0.2161251166296,0.217204216336,0.00314994720080379,0.2164240878876
"31","E-1",0.2025474930804,0.2166652023844,0.2068144652892,0.0346976381980001,0.208675720251333
"96","L-8",0.2327315941872,0.239721461814,0.2410560216908,0.0187983532992277,0.237836359230667
"2","A-3",0.2159483721596,0.2147132838644,0.2161751409828,0.00364893082631549,0.215612265668933
"33","E-2",0.1966688998676,0.23644133179,0.236693411658,0.103175334349717,0.2232678811052
"85","K-5",0.200348462088,0.218265713736,0.2249192824972,0.0592436166352479,0.214511152773733
"13","B-6",0.2378162491796,0.2451238240088,0.2448654369912,0.0170916000128781,0.242601836726533
"63","H-9",0.2309328404668,0.2473976544976,0.2480468374512,0.0400568704101997,0.242125777471867
"82","K-2",0.20955092314,0.2082407880092,0.2134000982168,0.0127461825236631,0.210397269788667
"15","B-8",0.2619062009608,0.26697741719,0.2650329394576,0.00966779262294155,0.264638852536133
"23","D-1",0.25586828008,0.2541059676684,0.2538046879112,0.00437824091541669,0.2545929785532
"94","L-6",0.2492002419756,0.2499291299864,0.2490564966772,0.00187602872715462,0.2493952895464
"34","E-3",0.22356526527,0.258289936964,0.2488605628076,0.0737206493619006,0.243571921680533
"66","I-2",0.2368936739636,0.243618703142,0.2513210725576,0.0295936777850686,0.243944483221067
"67","I-3",0.2487313280756,0.2519018662224,0.257755890408,0.0181105994715997,0.252796361568667
"14","B-7",0.252691104998,0.2638243164568,0.2650856227072,0.0261812095739635,0.260533681387333
"1","A-2",0.2243314808884,0.2415667771388,0.2407792903492,0.0413120976079894,0.235559182792133
"77","J-4",0.250195658586,0.2547601386292,0.2561169178108,0.0122277126715557,0.253690905008667
"3","A-4",0.2818581267028,0.281875790844,0.2818746365944,3.50589889582785e-05,0.281869518047067
"92","L-3",0.2586513201468,0.2623626654544,0.2686000241768,0.0191011616770323,0.263204669926
"51","G-2",0.2577499748788,0.2610294865548,0.2621940419548,0.00885196804502405,0.260324501129467
"32","E-10",0.2322453459316,0.262496867582,0.260608535848,0.0673075312517639,0.251783583120533
"46","F-7",0.2531195995504,0.2483599070436,0.2515247770004,0.00965181864272942,0.2510014278648
"56","H-1",0.2638978998688,0.2692373966836,0.2675072589796,0.0102079504595557,0.266880851844
"58","H-4",0.2527714284032,0.2646665682676,0.2630856997708,0.0248288927362173,0.260174565480533
"36","E-5",0.2571647084968,0.2615879784684,0.2702944625896,0.0253988708215374,0.263015716518267
"76","J-3",0.2394960945796,0.2559242817972,0.2594427231404,0.0423130449347958,0.2516210331724
"83","K-3",0.2512266920412,0.2601439916072,0.264398596856,0.025995190682639,0.258589760168133
"39","E-9",0.2642733401628,0.2628554681988,0.2701951146776,0.0146489957244036,0.265774641013067
"45","F-6",0.2599273018564,0.2635046099292,0.2650317233732,0.00996850316639817,0.2628212117196
"62","H-8",0.2634594705252,0.2677713966336,0.2684582369804,0.0101650113969746,0.266563034713067
"26","D-4",0.2703111167624,0.270744908496,0.2708945074888,0.00111957293719688,0.2706501775824
"75","J-2",0.2381468180204,0.2680096048948,0.26625240416,0.0650837083612416,0.257469609025067
"17","C-3",0.2704568201628,0.273171821338,0.276808944274,0.0116542602241007,0.273479195258267
"21","C-7",0.2590258535304,0.2747090550776,0.271048311248,0.0305847857325698,0.268261073285333
"65","I-10",0.2715310967548,0.2606748433652,0.2715396711804,0.0234041869137251,0.2679152037668
"16","C-2",0.2730591583324,0.2760297433476,0.2766495753828,0.00697261876195053,0.275246159020933
"27","D-5",0.2775368017048,0.2737213059824,0.2706097582348,0.0126643644607955,0.273955955307333
"35","E-4",0.270105021374,0.26799253849,0.2716574458628,0.0068152911511469,0.269918335242267
"28","D-6",0.265974353676,0.269469771862,0.2673633694,0.00657667929106062,0.267602498312667
"47","F-8",0.2658588668812,0.2639832318928,0.2665228077404,0.00496161179716959,0.265454968838133
"5","A-6",0.280078253208,0.28186259942,0.2816128486628,0.00343617579910827,0.281184567096933
"57","H-3",0.2671765458576,0.2773443511956,0.2718676017364,0.0187005067404137,0.272129499596533
"18","C-4",0.2814138024416,0.2817035397028,0.281514469496,0.000522473399255809,0.281543937213467
"6","A-7",0.2812790644124,0.2786716351776,0.2818276215348,0.00600946101965416,0.280592773708267
"44","F-4",0.2796087003484,0.2802021701472,0.280994954118,0.0024815868200416,0.280268608204533
